G_ID,GRAV_LON,GRAV_LAT,GRAV_ANOM,NEAR_DIST,NEAR_CONTR,CONTR_LON,CONTR_LAT,CONTR_X,CONTR_Y,CONTR_OTHO.H,CONTR_ELLIP.h,CONTR_GEOID_N
164,3.833333333,6.5,27.66,0.02953663,XST180A,3.816975637,6.47349003,590336.1569,715618.2639,3.862,26.311,22.449
165,3.866666667,6.5,30.43,0.016134048,XST183,3.863663151,6.485162485,595496.754,716917.2672,3.964,26.455,22.491
166,3.9,6.5,32.79,0.01301437,XST190,3.901221856,6.487043114,599649.6456,717132.4104,1.778,24.26,22.483
167,3.933333333,6.5,34.82,0.031560457,XST190,3.901221856,6.487043114,599649.6456,717132.4104,1.778,24.26,22.483
168,3.966666667,6.5,36.3,0.025001017,XST199,3.973173224,6.52479882,607598.1204,721321.3841,7.693,30.342,22.65
169,4,6.5,36.52,0.019306934,XST206,4.008922422,6.517121568,611552.7931,720480.3485,6.039,28.653,22.614
170,4.033333333,6.5,35.16,0.018860851,XST213,4.045751773,6.510373685,615626.8579,719742.5753,5.457,28.037,22.581
171,4.066666667,6.5,32.84,0.009593059,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
172,4.1,6.5,30.79,0.020426071,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
173,4.133333333,6.5,29.8,0.050422435,XST222,4.07958004,6.500499614,619369.9457,718658.7304,4.433,26.965,22.533
174,2.733333333,6.466666667,20.33,0.033263054,XST46,2.709402845,6.443881272,467866.6141,712281.7202,2.64,25.684,23.044
175,2.766666667,6.466666667,21.32,0.037796063,XST51,2.795002046,6.441654982,477331.8732,712031.0213,1.496,24.457,22.961
176,2.8,6.466666667,21.5,0.028782279,XST51,2.795002046,6.441654982,477331.8732,712031.0213,1.496,24.457,22.961
177,2.866666667,6.466666667,18.74,0.017859421,XST54,2.887274001,6.465464826,487535.66,714659.8894,3.264,26.282,23.018
178,2.9,6.466666667,17.45,0.013509954,XST54,2.887274001,6.465464826,487535.66,714659.8894,3.264,26.282,23.018
179,2.933333333,6.466666667,16.9,0.002128893,XST62,2.927877071,6.47015925,492025.2996,715178.0154,5.422,28.409,22.987
180,2.966666667,6.466666667,16.58,0.009838668,XST58,2.96082341,6.47354818,495668.2371,715552.2431,5.135,28.098,22.963
181,3,6.466666667,16.02,0.012360351,XST66,3.01171544,6.473940398,501295.3773,715595.4485,5.15,28.07,22.92
182,3.033333333,6.466666667,15.47,0.018704328,XST66,3.01171544,6.473940398,501295.3773,715595.4485,5.15,28.07,22.92
183,3.066666667,6.466666667,15.61,0.007093352,XST73,3.070762847,6.477052213,507824.2087,715939.9716,6.164,29.047,22.883
184,3.1,6.466666667,16.81,0.013229087,XST74,3.093155658,6.458679058,510300.5433,713909.324,0.993,23.742,22.749
185,3.133333333,6.466666667,18.76,0.012820454,XST78,3.142188985,6.473974,515721.8643,715601.3476,1.895,24.706,22.811
186,3.166666667,6.466666667,20.78,0.010401365,XST85,3.179207768,6.474837913,519815.0165,715698.1431,7.463,30.245,22.782
187,3.2,6.466666667,22.28,0.017831986,XST82A,3.205777044,6.453129745,522753.7653,713299.5307,0.817,23.443,22.626
188,3.233333333,6.466666667,22.9,0.029518758,XST82A,3.205777044,6.453129745,522753.7653,713299.5307,0.817,23.443,22.626
189,3.266666667,6.466666667,22.48,0.006905283,XST90,3.27123472,6.476793998,529990.3901,715918.8897,3.683,26.379,22.696
190,3.3,6.466666667,21.32,0.0086416,XST102,3.305670711,6.476520758,533798.0251,715890.8466,3.424,26.089,22.666
191,3.333333333,6.466666667,20.31,0.022736573,XST98,3.348491303,6.483229642,538532.2447,716635.5369,2.575,25.253,22.678
192,3.366666667,6.466666667,20.46,0.025251682,XST98,3.348491303,6.483229642,538532.2447,716635.5369,2.575,25.253,22.678
193,3.4,6.466666667,21.81,0.010765369,XST115,3.399924859,6.459234894,544221.3597,713987.1885,1.775,24.289,22.514
